Greedy,Greedy_1,Greedy_5,BBB_Adam_001,BBB_Adam_0001,BBB_RMS_001,BBB_RMS_0001
430.0,330.0,820.0,480.0,595.0,405.0,820.0
430.0,330.0,825.0,480.0,595.0,405.0,825.0
430.0,330.0,830.0,480.0,595.0,405.0,830.0
430.0,330.0,835.0,480.0,595.0,405.0,835.0
430.0,330.0,840.0,480.0,600.0,405.0,840.0
430.0,330.0,845.0,480.0,600.0,405.0,845.0
430.0,330.0,845.0,480.0,600.0,405.0,845.0
430.0,335.0,850.0,485.0,605.0,410.0,850.0
430.0,335.0,855.0,485.0,605.0,410.0,855.0
430.0,335.0,860.0,485.0,605.0,410.0,860.0
430.0,335.0,865.0,485.0,605.0,410.0,865.0
430.0,335.0,865.0,485.0,605.0,410.0,865.0
430.0,335.0,870.0,485.0,610.0,410.0,870.0
430.0,335.0,870.0,485.0,610.0,410.0,870.0
430.0,335.0,875.0,485.0,610.0,410.0,875.0
430.0,335.0,875.0,485.0,610.0,410.0,875.0
430.0,335.0,880.0,485.0,615.0,410.0,880.0
430.0,335.0,885.0,485.0,615.0,410.0,885.0
430.0,335.0,890.0,485.0,620.0,410.0,890.0
430.0,335.0,890.0,485.0,620.0,410.0,890.0
430.0,335.0,895.0,485.0,625.0,410.0,895.0
430.0,335.0,900.0,485.0,625.0,410.0,900.0
430.0,335.0,900.0,485.0,625.0,410.0,900.0
430.0,335.0,900.0,485.0,625.0,410.0,900.0
430.0,370.0,900.0,520.0,660.0,445.0,900.0
430.0,370.0,900.0,520.0,660.0,440.0,900.0
430.0,370.0,900.0,520.0,660.0,440.0,900.0
435.0,375.0,905.0,520.0,660.0,440.0,905.0
435.0,375.0,905.0,520.0,660.0,440.0,905.0
435.0,375.0,910.0,525.0,665.0,440.0,910.0
435.0,375.0,910.0,525.0,665.0,440.0,910.0
435.0,375.0,915.0,525.0,665.0,440.0,915.0
435.0,375.0,920.0,525.0,665.0,440.0,920.0
435.0,375.0,925.0,525.0,665.0,440.0,925.0
435.0,375.0,925.0,525.0,665.0,440.0,925.0
435.0,375.0,930.0,525.0,665.0,440.0,930.0
435.0,375.0,930.0,525.0,665.0,440.0,930.0
435.0,375.0,930.0,525.0,665.0,440.0,930.0
440.0,380.0,935.0,525.0,665.0,440.0,935.0
440.0,380.0,940.0,525.0,665.0,440.0,940.0
440.0,380.0,945.0,525.0,665.0,440.0,945.0
440.0,380.0,945.0,525.0,665.0,440.0,945.0
440.0,380.0,950.0,525.0,665.0,440.0,950.0
440.0,380.0,950.0,525.0,665.0,440.0,950.0
440.0,380.0,950.0,525.0,665.0,440.0,950.0
440.0,380.0,955.0,525.0,665.0,440.0,955.0
440.0,380.0,955.0,525.0,665.0,440.0,955.0
440.0,380.0,960.0,525.0,665.0,440.0,960.0
440.0,380.0,965.0,525.0,665.0,440.0,965.0
445.0,380.0,970.0,525.0,665.0,440.0,970.0
445.0,380.0,970.0,525.0,665.0,440.0,970.0
445.0,380.0,970.0,525.0,665.0,440.0,970.0
445.0,380.0,970.0,525.0,665.0,440.0,970.0
445.0,415.0,970.0,525.0,665.0,440.0,970.0
445.0,415.0,970.0,525.0,665.0,440.0,970.0
445.0,415.0,975.0,525.0,665.0,440.0,975.0
445.0,415.0,980.0,525.0,665.0,440.0,980.0
445.0,415.0,980.0,525.0,665.0,440.0,980.0
445.0,415.0,980.0,525.0,665.0,440.0,980.0
445.0,415.0,985.0,525.0,665.0,440.0,985.0
445.0,415.0,990.0,525.0,665.0,440.0,990.0
445.0,415.0,995.0,525.0,665.0,440.0,995.0
445.0,415.0,1000.0,525.0,665.0,440.0,1000.0
445.0,415.0,1000.0,525.0,665.0,440.0,1000.0
445.0,420.0,1005.0,525.0,665.0,440.0,1005.0
445.0,420.0,1005.0,525.0,665.0,440.0,1005.0
445.0,420.0,1010.0,525.0,665.0,440.0,1010.0
445.0,420.0,1010.0,525.0,665.0,475.0,1010.0
445.0,420.0,1010.0,525.0,665.0,470.0,1010.0
445.0,420.0,1010.0,525.0,665.0,470.0,1010.0
445.0,420.0,1010.0,525.0,665.0,470.0,1010.0
445.0,420.0,1010.0,525.0,665.0,470.0,1010.0
445.0,420.0,1015.0,525.0,665.0,470.0,1015.0
445.0,420.0,1015.0,525.0,665.0,470.0,1015.0
445.0,420.0,1015.0,525.0,665.0,470.0,1015.0
445.0,420.0,1020.0,525.0,665.0,470.0,1020.0
445.0,420.0,1025.0,525.0,665.0,470.0,1025.0
445.0,420.0,1030.0,525.0,665.0,470.0,1030.0
445.0,420.0,1035.0,525.0,665.0,470.0,1035.0
445.0,420.0,1040.0,525.0,665.0,470.0,1040.0
445.0,420.0,1045.0,525.0,670.0,475.0,1045.0
445.0,420.0,1050.0,525.0,670.0,475.0,1050.0
445.0,420.0,1050.0,525.0,670.0,475.0,1050.0
445.0,420.0,1050.0,525.0,670.0,475.0,1050.0
445.0,420.0,1050.0,525.0,670.0,470.0,1050.0
445.0,420.0,1055.0,525.0,670.0,470.0,1055.0
445.0,420.0,1055.0,525.0,670.0,470.0,1055.0
445.0,420.0,1060.0,525.0,670.0,470.0,1060.0
445.0,420.0,1060.0,525.0,670.0,470.0,1060.0
445.0,420.0,1060.0,525.0,670.0,465.0,1060.0
445.0,420.0,1060.0,525.0,670.0,460.0,1060.0
445.0,420.0,1065.0,530.0,670.0,465.0,1065.0
445.0,420.0,1065.0,530.0,670.0,465.0,1065.0
445.0,420.0,1070.0,530.0,670.0,465.0,1070.0
445.0,420.0,1070.0,530.0,670.0,465.0,1070.0
450.0,425.0,1075.0,530.0,670.0,465.0,1075.0
450.0,425.0,1080.0,530.0,675.0,465.0,1080.0
450.0,425.0,1080.0,530.0,675.0,465.0,1080.0
450.0,425.0,1085.0,530.0,675.0,465.0,1085.0
455.0,430.0,1090.0,530.0,675.0,465.0,1090.0
455.0,430.0,1090.0,530.0,675.0,465.0,1090.0
455.0,430.0,1095.0,530.0,675.0,465.0,1095.0
455.0,430.0,1100.0,530.0,675.0,470.0,1100.0
455.0,430.0,1105.0,530.0,675.0,470.0,1105.0
455.0,430.0,1105.0,530.0,675.0,470.0,1105.0
455.0,430.0,1105.0,530.0,675.0,470.0,1105.0
455.0,430.0,1110.0,530.0,675.0,470.0,1110.0
455.0,430.0,1115.0,530.0,675.0,470.0,1115.0
455.0,430.0,1120.0,535.0,680.0,475.0,1120.0
460.0,435.0,1125.0,535.0,680.0,475.0,1125.0
460.0,435.0,1125.0,535.0,680.0,475.0,1125.0
460.0,435.0,1130.0,535.0,680.0,475.0,1130.0
460.0,435.0,1135.0,535.0,680.0,475.0,1135.0
460.0,435.0,1135.0,535.0,680.0,475.0,1135.0
460.0,435.0,1135.0,535.0,715.0,475.0,1135.0
465.0,440.0,1140.0,535.0,715.0,475.0,1140.0
465.0,440.0,1145.0,535.0,715.0,475.0,1145.0
465.0,440.0,1145.0,535.0,715.0,475.0,1145.0
465.0,440.0,1150.0,535.0,720.0,475.0,1150.0
465.0,440.0,1150.0,570.0,720.0,475.0,1150.0
465.0,440.0,1150.0,570.0,720.0,510.0,1150.0
465.0,440.0,1155.0,570.0,720.0,510.0,1155.0
465.0,440.0,1155.0,570.0,720.0,510.0,1155.0
465.0,440.0,1160.0,570.0,720.0,510.0,1160.0
465.0,440.0,1160.0,570.0,720.0,505.0,1160.0
465.0,440.0,1165.0,570.0,720.0,505.0,1165.0
465.0,440.0,1170.0,570.0,720.0,505.0,1170.0
465.0,440.0,1175.0,570.0,720.0,505.0,1175.0
465.0,440.0,1180.0,570.0,720.0,505.0,1180.0
465.0,440.0,1180.0,570.0,720.0,505.0,1180.0
465.0,440.0,1185.0,570.0,720.0,505.0,1185.0
465.0,440.0,1190.0,570.0,720.0,505.0,1190.0
465.0,440.0,1195.0,570.0,720.0,505.0,1195.0
465.0,440.0,1200.0,570.0,720.0,505.0,1200.0
465.0,440.0,1205.0,570.0,720.0,505.0,1205.0
465.0,440.0,1210.0,570.0,720.0,505.0,1210.0
465.0,440.0,1210.0,570.0,720.0,505.0,1210.0
465.0,440.0,1215.0,570.0,720.0,505.0,1215.0
465.0,440.0,1220.0,570.0,720.0,505.0,1220.0
465.0,445.0,1225.0,570.0,720.0,505.0,1225.0
465.0,445.0,1225.0,570.0,720.0,505.0,1225.0
465.0,445.0,1225.0,570.0,720.0,505.0,1225.0
465.0,445.0,1225.0,570.0,720.0,505.0,1225.0
465.0,445.0,1225.0,570.0,720.0,505.0,1225.0
465.0,445.0,1230.0,570.0,720.0,505.0,1230.0
465.0,445.0,1230.0,570.0,720.0,540.0,1230.0
465.0,445.0,1235.0,570.0,720.0,540.0,1235.0
465.0,445.0,1240.0,570.0,720.0,540.0,1240.0
465.0,445.0,1245.0,570.0,720.0,540.0,1245.0
465.0,445.0,1250.0,570.0,720.0,540.0,1250.0
465.0,445.0,1250.0,570.0,720.0,540.0,1250.0
