,1% Greedy,5% Greedy,BBB,Greedy
566,1290,1450,1535,1510
567,1290,1450,1535,1510
568,1290,1450,1540,1515
569,1290,1450,1545,1520
570,1290,1450,1550,1525
571,1290,1455,1555,1530
572,1290,1455,1560,1535
573,1290,1460,1565,1540
574,1295,1465,1570,1545
575,1295,1465,1570,1545
576,1300,1470,1575,1550
577,1305,1475,1580,1555
578,1305,1475,1585,1560
579,1305,1475,1585,1560
580,1310,1480,1590,1565
581,1310,1480,1595,1570
582,1310,1480,1595,1570
583,1310,1480,1595,1570
584,1310,1480,1595,1570
585,1310,1480,1595,1570
586,1310,1480,1595,1570
587,1310,1480,1595,1570
588,1310,1480,1595,1570
589,1310,1480,1595,1570
590,1310,1480,1595,1570
591,1310,1480,1600,1575
592,1310,1480,1605,1575
593,1310,1480,1610,1580
594,1310,1480,1615,1585
595,1310,1485,1620,1585
596,1310,1485,1620,1585
597,1310,1485,1620,1585
598,1310,1485,1625,1590
599,1315,1490,1630,1595
600,1315,1495,1635,1600
601,1320,1500,1640,1605
602,1325,1505,1645,1610
603,1325,1505,1645,1610
604,1325,1505,1645,1610
605,1325,1510,1650,1610
606,1325,1510,1655,1610
607,1325,1510,1655,1610
608,1325,1510,1655,1610
609,1325,1510,1655,1610
610,1325,1515,1660,1615
611,1325,1515,1660,1615
612,1330,1520,1665,1620
613,1330,1520,1665,1620
614,1330,1520,1665,1620
615,1330,1525,1670,1625
616,1330,1525,1670,1625
617,1330,1525,1670,1625
618,1335,1525,1675,1625
619,1335,1530,1680,1625
620,1335,1530,1685,1625
621,1340,1535,1690,1630
622,1340,1540,1695,1630
623,1340,1540,1700,1635
624,1345,1545,1705,1640
625,1345,1545,1705,1640
626,1345,1545,1710,1645
627,1345,1545,1710,1645
628,1350,1550,1715,1645
629,1350,1550,1720,1650
630,1350,1555,1725,1655
631,1350,1555,1725,1655
632,1350,1555,1725,1655
633,1355,1555,1730,1660
634,1355,1555,1730,1660
635,1355,1555,1730,1660
636,1355,1555,1735,1665
637,1355,1555,1735,1665
638,1355,1555,1735,1665
639,1355,1555,1735,1665
640,1360,1560,1740,1670
641,1365,1560,1745,1670
642,1365,1560,1745,1670
643,1365,1565,1750,1675
644,1365,1565,1750,1675
645,1370,1565,1755,1675
646,1370,1565,1755,1675
647,1370,1565,1760,1675
648,1370,1565,1765,1675
649,1370,1565,1765,1675
650,1370,1565,1765,1675
651,1370,1565,1765,1675
652,1370,1565,1765,1675
653,1370,1565,1765,1675
654,1370,1565,1770,1680
655,1370,1565,1770,1680
656,1370,1565,1770,1680
657,1370,1565,1775,1685
658,1370,1570,1780,1690
659,1375,1570,1785,1690
660,1375,1570,1785,1690
661,1375,1570,1785,1690
662,1375,1570,1785,1690
663,1380,1575,1790,1695
664,1385,1580,1795,1700
665,1385,1580,1800,1700
666,1385,1580,1800,1700
667,1385,1580,1800,1700
668,1385,1580,1800,1700
669,1385,1580,1800,1700
670,1385,1580,1800,1700
671,1385,1580,1800,1700
672,1385,1580,1800,1700
673,1390,1585,1805,1705
674,1390,1585,1805,1705
675,1390,1585,1805,1705
676,1395,1590,1810,1710
677,1395,1590,1815,1715
678,1395,1590,1815,1715
679,1400,1595,1820,1720
680,1400,1630,1820,1720
681,1405,1635,1825,1725
682,1405,1635,1830,1730
683,1405,1635,1835,1730
684,1405,1635,1835,1730
685,1405,1635,1835,1730
686,1405,1635,1840,1730
687,1405,1635,1845,1730
688,1410,1640,1850,1735
689,1410,1640,1850,1735
690,1410,1640,1855,1740
691,1410,1645,1860,1745
692,1410,1645,1860,1745
693,1410,1645,1860,1745
694,1410,1645,1865,1745
695,1415,1650,1870,1745
696,1415,1650,1875,1750
697,1415,1650,1875,1750
698,1415,1650,1875,1750
699,1415,1650,1875,1750
700,1415,1650,1875,1750
701,1415,1650,1880,1755
702,1415,1650,1885,1760
703,1415,1650,1885,1760
704,1415,1650,1885,1760
705,1415,1650,1885,1760
706,1415,1650,1890,1760
707,1415,1650,1895,1760
708,1415,1655,1900,1760
709,1415,1655,1905,1760
710,1415,1655,1905,1760
711,1415,1655,1905,1760
712,1415,1655,1910,1760
713,1415,1655,1910,1760
714,1415,1655,1910,1760
715,1415,1655,1910,1760
716,1415,1655,1910,1760
717,1415,1655,1915,1760
718,1415,1655,1915,1760
719,1415,1655,1915,1760
720,1415,1655,1915,1760
721,1415,1655,1915,1760
722,1415,1655,1915,1760
723,1415,1660,1920,1760
724,1415,1660,1920,1760
725,1415,1660,1925,1760
726,1420,1665,1930,1765
727,1420,1665,1930,1765
728,1420,1665,1930,1765
729,1420,1665,1930,1765
730,1420,1665,1935,1770
731,1425,1665,1940,1770
732,1430,1670,1945,1775
733,1430,1670,1950,1775
734,1435,1675,1955,1780
735,1470,1675,1955,1780
736,1470,1675,1955,1780
737,1470,1675,1960,1780
738,1470,1675,1965,1780
739,1475,1680,1970,1785
740,1475,1680,1970,1785
741,1475,1685,1975,1790
742,1475,1690,1980,1790
743,1475,1690,1980,1790
744,1475,1690,1985,1795
745,1475,1690,1985,1795
746,1475,1690,1985,1795
747,1475,1690,1985,1795
748,1475,1690,1985,1795
749,1475,1690,1990,1795
750,1470,1690,1990,1795
751,1470,1690,1995,1795
752,1470,1695,2000,1795
753,1470,1695,2000,1795
754,1470,1695,2000,1795
755,1470,1695,2000,1795
756,1470,1695,2000,1795
757,1470,1695,2000,1795
758,1475,1700,2005,1800
759,1475,1735,2005,1800
760,1475,1735,2005,1800
761,1475,1735,2010,1800
762,1475,1735,2010,1800
763,1475,1735,2010,1800
764,1475,1735,2010,1800
765,1475,1735,2010,1800
766,1475,1735,2010,1800
767,1475,1735,2015,1800
768,1475,1735,2020,1800
769,1475,1735,2020,1800
770,1475,1735,2025,1800
771,1475,1735,2025,1800
772,1475,1735,2025,1800
773,1480,1740,2030,1805
774,1480,1740,2030,1805
775,1480,1740,2035,1805
776,1480,1740,2035,1805
777,1480,1740,2035,1805
778,1480,1740,2035,1805
779,1480,1740,2035,1805
780,1480,1740,2035,1805
781,1480,1745,2040,1805
782,1480,1745,2040,1805
783,1480,1745,2040,1805
784,1480,1750,2045,1805
785,1480,1750,2050,1805
786,1480,1750,2050,1805
787,1480,1755,2055,1805
788,1480,1755,2060,1805
789,1480,1755,2065,1805
790,1480,1755,2065,1805
791,1480,1755,2065,1805
792,1480,1755,2070,1805
793,1480,1755,2075,1805
794,1485,1755,2080,1805
795,1485,1755,2085,1805
796,1485,1755,2085,1805
797,1485,1755,2085,1805
798,1485,1755,2090,1805
799,1485,1755,2090,1805
800,1485,1755,2090,1805
801,1485,1755,2090,1805
802,1485,1755,2090,1805
803,1485,1755,2090,1805
804,1485,1755,2095,1805
805,1485,1755,2100,1805
806,1485,1755,2100,1805
807,1485,1755,2105,1805
808,1485,1755,2105,1805
809,1490,1760,2110,1810
810,1495,1765,2115,1815
811,1495,1765,2115,1815
