	Steps	Greedy	1% Greedy	5% Greedy	BBB		 BBB (All Steps)
Step	4250	5130	5420	5490	1260		530
Step	4260	5130	5420	5525	1260		530
Step	4270	5130	5420	5525	1260		530
Step	4280	5130	5420	5525	1260		530
Step	4290	5165	5425	5530	1260		530
Step	4300	5165	5430	5535	1260		530
Step	4310	5165	5435	5545	1260		535
Step	4320	5205	5445	5555	1260		535
Step	4330	5205	5450	5560	1260		535
Step	4340	5210	5455	5565	1260		535
Step	4350	5215	5460	5570	1260		535
Step	4360	5210	5465	5610	1295		535
Step	4370	5215	5475	5620	1295		535
Step	4380	5255	5485	5630	1295		535
Step	4390	5255	5490	5635	1295		535
Step	4400	5255	5495	5640	1295		535
Step	4410	5255	5495	5645	1295		535
Step	4420	5290	5500	5650	1295		535
Step	4430	5290	5505	5655	1295		535
Step	4440	5290	5500	5655	1295		535
Step	4450	5295	5505	5665	1295		535
Step	4460	5305	5515	5680	1295		540
Step	4470	5305	5515	5680	1295		540
Step	4480	5305	5520	5685	1330		540
Step	4490	5305	5520	5690	1330		540
Step	4500	5305	5530	5695	1330		540
Step	4510	5305	5530	5700	1365		535
Step	4520	5300	5535	5710	1365		535
Step	4530	5300	5540	5715	1365		535
Step	4540	5300	5545	5720	1400		535
Step	4550	5305	5550	5725	1400		535
Step	4560	5305	5555	5725	1400		535
Step	4570	5310	5565	5735	1405		535
Step	4580	5310	5565	5735	1405		535
Step	4590	5310	5565	5740	1405		535
Step	4600	5310	5565	5740	1405		535
Step	4610	5310	5570	5745	1405		570
Step	4620	5310	5575	5750	1405		570
Step	4630	5310	5580	5755	1405		570
Step	4640	5310	5580	5760	1405		570
Step	4650	5310	5590	5765	1405		570
Step	4660	5310	5595	5770	1400		570
Step	4670	5310	5600	5765	1400		570
Step	4680	5310	5600	5765	1400		570
Step	4690	5305	5605	5770	1400		570
Step	4700	5305	5610	5775	1400		570
Step	4710	5305	5610	5775	1400		570
Step	4720	5340	5610	5775	1400		570
Step	4730	5340	5610	5775	1400		570
Step	4740	5340	5615	5780	1400		570
Step	4750	5350	5630	5795	1400		570
Step	4760	5350	5630	5795	1400		570
Step	4770	5345	5630	5795	1405		570
Step	4780	5345	5630	5795	1405		570
Step	4790	5345	5635	5805	1405		570
Step	4800	5345	5635	5805	1405		570
Step	4810	5350	5645	5815	1405		570
Step	4820	5350	5645	5820	1410		570
Step	4830	5350	5650	5820	1410		570
Step	4840	5345	5650	5830	1410		575
Step	4850	5350	5655	5835	1410		575
Step	4860	5350	5655	5870	1410		575
Step	4870	5350	5675	5890	1410		575
Step	4880	5355	5720	5905	1480		575
Step	4890	5355	5720	5905	1480		575
Step	4900	5355	5730	5910	1515		575
Step	4910	5355	5730	5915	1515		575
Step	4920	5355	5745	5930	1515		580
Step	4930	5355	5750	5970	1515		580
Step	4940	5355	5750	5970	1515		580
Step	4950	5355	5750	5975	1520		580
Step	4960	5355	5750	5980	1520		580
Step	4970	5355	5755	5985	1560		580
Step	4980	5355	5755	5985	1560		580
Step	4990	5355	5760	5990	1560		580
Step	5000	5350	5760	5995	1560		580
Step	5010	5350	5760	5995	1565		580
Step	5020	5355	5770	6015	1565		580
Step	5030	5355	5770	6015	1565		580
Step	5040	5355	5775	6060	1560		580
Step	5050	5355	5780	6060	1560		580
Step	5060	5350	5815	6060	1560		575
Step	5070	5385	5820	6065	1560		575
Step	5080	5385	5825	6070	1560		575
Step	5090	5420	5820	6070	1560		575
Step	5100	5420	5820	6080	1595		575
Step	5110	5455	5820	6080	1595		575
Step	5120	5455	5825	6090	1600		575
Step	5130	5455	5830	6095	1635		575
Step	5140	5450	5830	6095	1640		575
Step	5150	5460	5840	6110	1640		575
Step	5160	5460	5840	6110	1640		575
Step	5170	5460	5845	6150	1640		575
