,5%Greedy_1 0.00001,5%Greedy_2 0.00001,5%Greedy_3 0.00001,5%Greedy_4 0.00001
784,1540,1300,1220,1075
785,1540,1295,1220,1075
786,1540,1295,1220,1075
787,1540,1295,1220,1075
788,1540,1300,1225,1075
789,1540,1305,1225,1075
790,1540,1305,1225,1075
791,1540,1305,1225,1075
792,1540,1305,1225,1075
793,1540,1305,1225,1075
794,1540,1300,1225,1075
795,1540,1300,1225,1075
796,1540,1300,1260,1075
797,1540,1300,1260,1080
798,1540,1300,1260,1080
799,1540,1300,1260,1080
800,1545,1305,1260,1080
801,1545,1305,1260,1080
802,1545,1310,1260,1080
803,1545,1310,1260,1080
804,1545,1310,1260,1080
805,1545,1310,1260,1080
806,1545,1310,1260,1080
807,1545,1310,1260,1080
808,1545,1310,1260,1080
809,1545,1315,1260,1080
810,1545,1315,1260,1080
811,1545,1315,1260,1080
812,1545,1315,1260,1080
813,1545,1315,1255,1080
814,1545,1315,1255,1080
815,1545,1315,1255,1080
816,1545,1315,1255,1080
817,1580,1315,1255,1080
818,1580,1315,1255,1080
819,1580,1315,1250,1075
820,1580,1315,1250,1075
821,1580,1315,1250,1075
822,1580,1315,1250,1075
823,1580,1315,1250,1075
824,1580,1350,1250,1075
825,1580,1350,1250,1075
826,1580,1350,1250,1075
827,1580,1350,1250,1075
828,1580,1350,1250,1075
829,1580,1350,1250,1075
830,1585,1355,1250,1080
831,1585,1360,1250,1080
832,1585,1360,1250,1080
833,1585,1360,1250,1080
834,1585,1360,1245,1080
835,1585,1360,1245,1080
836,1585,1360,1245,1080
837,1585,1360,1245,1080
838,1585,1395,1245,1080
839,1585,1395,1245,1080
840,1585,1395,1245,1085
841,1585,1395,1245,1085
842,1585,1395,1245,1085
843,1585,1390,1245,1085
844,1585,1390,1245,1085
845,1585,1390,1245,1085
846,1580,1390,1280,1085
847,1580,1390,1280,1085
848,1585,1395,1280,1085
849,1585,1395,1280,1085
850,1585,1395,1280,1085
851,1585,1395,1280,1085
852,1585,1395,1280,1120
853,1585,1395,1280,1120
854,1590,1400,1280,1120
855,1590,1400,1315,1120
856,1590,1400,1315,1120
857,1590,1395,1315,1120
858,1590,1395,1315,1120
859,1590,1395,1315,1120
860,1590,1395,1315,1120
861,1590,1395,1315,1120
862,1625,1395,1315,1120
863,1620,1395,1315,1120
864,1620,1395,1315,1120
865,1620,1395,1315,1120
866,1620,1395,1315,1120
867,1620,1395,1315,1155
868,1620,1395,1315,1155
869,1620,1395,1315,1155
870,1620,1400,1315,1160
871,1620,1400,1310,1160
872,1625,1405,1310,1165
873,1660,1405,1310,1165
874,1660,1405,1310,1165
875,1660,1405,1310,1165
876,1660,1405,1310,1165
877,1660,1400,1310,1165
878,1665,1400,1310,1165
879,1665,1400,1310,1165
880,1665,1435,1310,1165
881,1665,1435,1310,1165
882,1665,1435,1310,1165
883,1665,1430,1310,1165
884,1665,1430,1310,1165
885,1665,1430,1310,1165
886,1665,1430,1310,1165
887,1665,1430,1310,1165
888,1665,1430,1310,1165
889,1665,1430,1310,1165
890,1665,1430,1310,1165
891,1665,1430,1305,1165
892,1665,1430,1305,1165
893,1665,1430,1300,1165
894,1700,1430,1300,1165
895,1700,1430,1300,1165
896,1700,1430,1295,1165
897,1700,1430,1300,1165
898,1700,1430,1300,1165
899,1700,1430,1300,1165
900,1700,1430,1300,1165
901,1700,1430,1300,1165
902,1700,1430,1300,1165
903,1700,1430,1335,1165
904,1700,1430,1335,1165
905,1700,1430,1335,1165
906,1700,1430,1335,1165
907,1700,1430,1335,1165
908,1700,1430,1335,1165
909,1700,1430,1335,1165
910,1700,1430,1335,1165
911,1700,1430,1335,1165
912,1700,1430,1335,1165
913,1700,1430,1335,1165
914,1700,1430,1335,1165
915,1700,1430,1335,1165
916,1700,1435,1335,1170
917,1700,1435,1335,1170
918,1700,1435,1335,1170
919,1700,1435,1335,1170
920,1735,1435,1335,1170
921,1735,1435,1335,1170
922,1735,1430,1335,1170
923,1735,1430,1335,1170
924,1735,1430,1335,1175
925,1735,1430,1335,1175
926,1735,1430,1335,1175
927,1735,1435,1335,1175
928,1735,1435,1335,1175
929,1735,1435,1335,1175
930,1735,1435,1335,1170
931,1735,1435,1335,1170
932,1735,1435,1335,1170
933,1735,1435,1335,1170
934,1735,1435,1335,1170
935,1735,1435,1335,1170
936,1735,1435,1335,1170
937,1735,1435,1335,1170
938,1735,1435,1335,1170
939,1735,1435,1335,1170
940,1735,1435,1370,1170
941,1735,1435,1370,1170
942,1735,1435,1370,1165
943,1735,1435,1365,1165
944,1735,1435,1365,1165
945,1735,1435,1365,1165
946,1735,1435,1365,1165
947,1735,1435,1365,1165
948,1735,1435,1365,1165
949,1740,1440,1370,1170
950,1740,1440,1370,1170
951,1740,1440,1370,1170
952,1740,1440,1370,1170
953,1740,1440,1370,1170
954,1740,1440,1370,1170
955,1740,1440,1370,1170
956,1740,1440,1370,1170
957,1740,1440,1370,1170
958,1740,1440,1370,1170
959,1740,1445,1370,1170
960,1740,1445,1370,1170
961,1740,1445,1370,1175
962,1740,1445,1370,1175
963,1740,1445,1370,1175
964,1740,1445,1370,1175
965,1740,1445,1370,1175
966,1740,1445,1370,1175
967,1740,1445,1370,1175
968,1745,1450,1370,1175
969,1745,1450,1405,1175
970,1745,1450,1405,1175
971,1745,1450,1405,1175
972,1745,1450,1405,1175
