,5%Greedy_1 0.0001,5%Greedy_2 0.0001,5%Greedy_3 0.0001,5%Greedy_4 0.0001,5%Greedy_5 0.0001,5%Greedy_6 0.0001,5%Greedy_7 0.0001
529,1430,1195,1705,1405,1180,1540,1760
530,1425,1195,1705,1405,1180,1540,1795
531,1425,1195,1705,1405,1180,1535,1795
532,1425,1195,1705,1405,1180,1535,1795
533,1425,1195,1705,1405,1180,1535,1795
534,1425,1195,1705,1405,1180,1535,1795
535,1430,1200,1710,1410,1185,1535,1795
536,1425,1200,1710,1410,1185,1530,1795
537,1425,1200,1710,1410,1185,1530,1790
538,1425,1200,1710,1410,1185,1530,1790
539,1425,1205,1715,1415,1190,1535,1795
540,1425,1205,1715,1415,1190,1535,1795
541,1425,1205,1715,1415,1190,1535,1795
542,1425,1210,1720,1420,1190,1540,1800
543,1430,1215,1725,1425,1195,1540,1805
544,1430,1215,1725,1425,1195,1540,1805
545,1430,1215,1725,1425,1195,1540,1805
546,1425,1215,1720,1425,1195,1540,1805
547,1420,1215,1715,1425,1195,1540,1805
548,1420,1215,1715,1425,1195,1540,1805
549,1420,1220,1720,1430,1195,1540,1810
550,1420,1220,1755,1430,1195,1540,1810
551,1425,1220,1755,1435,1195,1545,1815
552,1430,1225,1755,1440,1195,1550,1815
553,1430,1225,1790,1440,1195,1550,1815
554,1430,1225,1790,1440,1195,1550,1815
555,1430,1225,1785,1440,1195,1550,1815
556,1430,1225,1785,1440,1195,1550,1850
557,1435,1230,1790,1445,1195,1555,1855
558,1435,1230,1790,1445,1195,1555,1855
559,1435,1230,1795,1450,1195,1560,1860
560,1440,1235,1800,1455,1195,1560,1860
561,1440,1235,1800,1455,1195,1560,1860
562,1440,1235,1835,1455,1195,1560,1860
563,1475,1235,1835,1455,1195,1560,1860
564,1480,1240,1840,1460,1195,1565,1860
565,1480,1240,1845,1465,1200,1570,1865
566,1480,1240,1845,1465,1200,1570,1865
567,1485,1245,1850,1470,1200,1575,1865
568,1490,1250,1850,1470,1205,1580,1870
569,1490,1250,1850,1475,1205,1585,1875
570,1490,1250,1855,1480,1210,1590,1880
571,1490,1250,1860,1485,1215,1595,1880
572,1490,1250,1865,1490,1215,1600,1885
573,1490,1250,1865,1490,1215,1600,1885
574,1490,1250,1870,1495,1220,1605,1890
575,1485,1250,1870,1495,1220,1605,1890
576,1485,1285,1905,1495,1220,1605,1890
577,1485,1290,1910,1500,1220,1610,1895
578,1485,1290,1910,1500,1220,1610,1895
579,1485,1290,1910,1505,1225,1615,1900
580,1485,1290,1910,1505,1225,1615,1900
581,1490,1295,1915,1510,1230,1615,1900
582,1490,1295,1915,1515,1235,1620,1905
583,1490,1295,1915,1515,1230,1620,1905
584,1490,1290,1915,1515,1230,1620,1905
585,1490,1290,1915,1520,1230,1625,1910
586,1490,1290,1915,1520,1230,1625,1910
587,1490,1295,1915,1525,1235,1625,1910
588,1490,1295,1915,1525,1235,1660,1910
589,1490,1295,1950,1525,1235,1695,1910
590,1490,1295,1950,1525,1235,1695,1910
591,1495,1300,1955,1530,1235,1700,1910
592,1495,1300,1960,1535,1235,1705,1915
593,1500,1305,1965,1540,1235,1705,1915
594,1495,1305,1965,1540,1235,1705,1915
595,1495,1305,1965,1540,1235,1705,1915
596,1495,1305,1965,1540,1235,1705,1915
597,1495,1305,1965,1540,1235,1705,1915
598,1500,1310,1970,1545,1235,1710,1915
599,1500,1315,1975,1550,1235,1715,1920
600,1505,1320,1980,1555,1240,1715,1920
601,1505,1320,1980,1560,1240,1720,1925
602,1510,1325,1985,1565,1245,1725,1925
603,1510,1325,1985,1565,1245,1725,1925
604,1515,1330,1990,1570,1250,1725,1925
605,1515,1330,1990,1570,1250,1725,1925
606,1515,1330,1990,1570,1250,1725,1925
607,1515,1330,1985,1570,1250,1725,1925
608,1515,1330,1985,1565,1250,1725,1925
609,1515,1330,1985,1565,1250,1725,1925
610,1515,1330,1980,1565,1250,1725,1925
611,1520,1330,1980,1570,1255,1730,1930
612,1525,1330,1985,1575,1260,1735,1935
613,1525,1330,1985,1575,1260,1735,1935
614,1525,1330,1985,1575,1260,1735,1935
615,1525,1330,1985,1575,1260,1770,1935
616,1525,1325,1985,1575,1260,1770,1970
617,1530,1330,1990,1580,1260,1770,1970
618,1530,1330,1990,1580,1260,1770,1970
619,1530,1330,1990,1580,1260,1770,1970
620,1535,1335,1990,1585,1265,1775,1970
621,1540,1340,1990,1590,1270,1780,1970
622,1540,1340,1990,1590,1305,1780,1970
623,1540,1340,1990,1595,1305,1785,1975
624,1540,1340,1990,1595,1305,1785,1975
625,1545,1340,1990,1600,1310,1790,1980
626,1545,1340,1985,1600,1310,1790,1980
627,1545,1340,1985,1600,1310,1790,1980
628,1545,1340,1985,1605,1310,1795,1985
629,1545,1340,1985,1605,1310,1795,1985
630,1545,1340,1985,1610,1315,1800,1985
631,1545,1340,1985,1610,1315,1800,1985
632,1550,1345,1985,1615,1315,1800,1985
633,1550,1345,1985,1615,1315,1800,1985
634,1550,1345,1985,1615,1315,1800,1985
635,1550,1345,1985,1615,1315,1800,1985
636,1550,1345,1985,1615,1315,1800,1985
637,1550,1345,1990,1620,1315,1805,1985
638,1555,1350,1995,1625,1315,1805,1985
639,1560,1355,2000,1630,1315,1810,1985
640,1560,1355,2000,1630,1315,1810,1985
641,1565,1360,2005,1635,1315,1810,1985
642,1565,1360,2040,1635,1315,1810,1980
643,1565,1360,2040,1635,1315,1810,1980
644,1565,1360,2045,1640,1315,1815,1980
645,1565,1360,2050,1645,1320,1820,1985
646,1570,1365,2050,1650,1320,1825,1985
647,1570,1365,2055,1650,1320,1830,1990
648,1570,1365,2055,1650,1320,1830,1990
649,1570,1365,2060,1655,1320,1835,1995
650,1570,1365,2060,1655,1320,1835,1995
651,1570,1365,2060,1655,1320,1835,1990
652,1570,1400,2055,1655,1320,1835,1990
653,1570,1395,2055,1655,1320,1835,1990
654,1570,1395,2060,1660,1325,1840,1990
655,1570,1395,2060,1660,1325,1840,1990
656,1575,1400,2065,1665,1330,1840,1990
657,1610,1400,2065,1665,1330,1840,1990
658,1610,1400,2065,1665,1330,1840,1990
659,1615,1405,2070,1670,1330,1840,1990
660,1620,1410,2075,1675,1330,1845,1990
661,1620,1410,2075,1680,1330,1850,1990
662,1625,1410,2075,1685,1330,1855,1995
663,1625,1410,2075,1685,1330,1855,1995
664,1625,1410,2075,1685,1330,1855,1995
665,1630,1415,2080,1690,1330,1855,1995
666,1635,1420,2080,1695,1335,1860,1995
667,1635,1420,2085,1700,1335,1865,2000
668,1635,1420,2085,1700,1335,1865,2000
669,1635,1420,2085,1700,1335,1865,2000
670,1640,1425,2085,1705,1335,1870,2000
671,1640,1425,2085,1705,1335,1870,2000
672,1640,1425,2085,1705,1335,1870,1995
673,1640,1430,2085,1710,1335,1875,1995
674,1640,1430,2090,1715,1335,1880,1995
675,1675,1430,2090,1715,1335,1880,1995
676,1680,1435,2090,1720,1340,1885,1995
677,1680,1435,2090,1725,1340,1890,1995
678,1680,1435,2090,1725,1340,1890,1995
679,1680,1435,2090,1725,1340,1890,1995
680,1680,1435,2090,1730,1340,1895,1995
681,1715,1435,2090,1730,1340,1895,1995
682,1715,1435,2090,1730,1340,1895,1995
683,1715,1470,2125,1730,1340,1895,1995
684,1715,1475,2125,1735,1340,1900,1995
685,1715,1480,2125,1740,1340,1905,1995
686,1720,1485,2130,1745,1340,1905,1995
687,1725,1485,2130,1750,1340,1910,2000
688,1725,1485,2130,1750,1375,1910,2000
689,1725,1485,2130,1750,1375,1910,2000
690,1725,1490,2135,1755,1375,1915,2000
691,1725,1495,2135,1760,1380,1920,2000
692,1730,1500,2140,1765,1385,1925,2005
693,1735,1505,2140,1770,1385,1925,2005
694,1735,1505,2140,1775,1385,1930,2005
