,1% Greedy,5 %Greedy,Bayes By BackProp,Greedy
714,810,750,1525,970
715,810,750,1525,970
716,810,750,1525,970
717,810,750,1530,970
718,810,750,1530,970
719,810,750,1530,970
720,810,750,1565,970
721,810,750,1570,970
722,810,750,1575,970
723,810,750,1575,970
724,810,750,1575,970
725,810,750,1575,970
726,810,750,1575,970
727,810,750,1575,970
728,810,750,1575,970
729,810,750,1575,970
730,810,750,1575,970
731,810,750,1575,970
732,810,750,1575,965
733,810,750,1575,965
734,810,750,1575,965
735,810,750,1575,965
736,810,750,1575,965
737,805,750,1575,965
738,805,750,1575,965
739,805,750,1580,965
740,805,750,1580,965
741,805,750,1580,965
742,805,750,1580,965
743,805,750,1580,965
744,805,750,1585,965
745,805,750,1590,965
746,805,750,1590,965
747,805,750,1590,965
748,805,750,1590,965
749,805,750,1595,965
750,805,750,1595,965
751,805,750,1600,965
752,805,750,1605,965
753,805,750,1605,965
754,805,750,1605,965
755,805,750,1605,965
756,805,750,1605,965
757,805,750,1605,965
758,805,750,1600,965
759,805,750,1605,965
760,805,750,1605,965
761,805,750,1605,965
762,805,750,1605,965
763,805,750,1605,965
764,805,750,1610,965
765,805,750,1610,965
766,805,750,1610,965
767,805,750,1615,965
768,805,750,1615,965
769,805,750,1650,965
770,805,750,1650,965
771,805,750,1650,965
772,805,750,1650,965
773,805,750,1650,965
774,805,750,1650,965
775,805,750,1655,965
776,805,750,1655,965
777,805,750,1655,965
778,805,750,1655,965
779,805,750,1655,965
780,805,750,1660,965
781,805,750,1660,965
782,805,750,1660,965
783,805,750,1660,965
784,805,750,1660,965
785,805,750,1660,965
786,805,750,1660,965
787,805,750,1660,965
788,805,750,1660,965
789,805,750,1660,965
790,805,750,1660,965
791,805,750,1660,965
792,805,750,1665,965
793,805,750,1670,965
794,805,750,1670,965
795,840,750,1670,960
796,840,750,1670,960
797,840,750,1670,960
798,840,750,1675,960
799,840,750,1675,960
800,875,750,1675,960
801,875,750,1675,960
802,875,750,1675,960
803,875,750,1675,960
804,875,750,1680,960
805,875,750,1680,960
806,875,750,1680,960
807,875,750,1680,960
808,875,750,1685,960
809,875,750,1690,960
810,875,750,1695,960
811,875,750,1695,960
812,875,750,1695,960
813,875,750,1700,960
814,875,750,1700,960
815,875,750,1700,960
816,875,750,1700,960
817,875,750,1700,960
818,880,750,1700,960
819,880,750,1705,960
820,880,750,1705,960
821,880,750,1705,960
822,880,750,1705,960
823,880,755,1710,960
824,880,755,1710,960
825,880,755,1710,960
826,880,755,1710,960
827,880,755,1715,960
828,880,755,1720,960
829,880,755,1725,960
830,880,755,1725,960
831,880,755,1730,960
832,880,755,1735,960
833,880,755,1735,960
834,880,755,1735,995
835,880,755,1735,995
836,880,755,1735,995
837,880,755,1735,995
838,880,755,1740,995
839,880,755,1740,995
840,880,755,1740,995
841,880,755,1745,995
842,880,750,1745,995
843,880,750,1745,995
844,880,750,1745,995
845,880,750,1745,995
846,880,750,1750,995
847,880,750,1755,995
848,880,750,1755,995
849,880,750,1755,995
850,880,750,1755,995
851,880,750,1755,995
852,880,750,1760,995
853,880,750,1765,995
854,880,750,1765,995
855,880,750,1765,995
856,880,750,1765,995
857,880,745,1765,995
858,880,745,1770,995
859,880,745,1775,995
860,880,745,1775,995
861,880,745,1775,995
862,880,745,1780,995
863,880,745,1780,995
864,880,745,1780,995
865,880,745,1785,995
866,880,745,1785,995
867,880,745,1790,995
868,880,745,1790,995
869,880,745,1790,995
870,880,745,1790,995
871,880,745,1790,995
872,880,745,1790,995
873,880,745,1790,995
874,880,745,1790,995
875,880,745,1790,995
876,880,745,1795,995
877,880,750,1795,995
878,880,750,1795,995
879,880,750,1795,995
880,880,750,1795,995
881,880,750,1800,995
882,880,750,1800,995
883,880,750,1805,995
884,880,750,1805,995
885,880,750,1810,995
886,880,750,1810,995
887,880,750,1815,995
888,915,750,1815,995
889,915,750,1815,995
890,915,750,1815,995
891,915,750,1815,995
892,915,750,1815,995
893,915,750,1815,995
894,915,750,1815,995
895,915,750,1815,995
896,915,750,1820,995
897,915,750,1825,995
898,915,750,1825,995
899,915,750,1825,995
900,915,750,1825,995
901,915,750,1825,995
902,915,750,1825,995
903,915,750,1825,995
904,915,750,1825,995
905,915,750,1825,995
906,915,750,1825,995
907,915,750,1825,995
908,915,750,1825,995
909,915,750,1825,995
910,915,750,1825,995
911,915,750,1825,995
912,915,750,1830,995
913,915,750,1830,995
914,915,750,1835,995
915,915,750,1835,995
916,915,750,1840,995
917,915,750,1840,995
918,915,750,1840,995
919,915,750,1840,995
920,915,750,1840,995
921,915,750,1845,995
922,915,750,1845,995
923,915,750,1850,995
924,915,750,1850,995
925,915,750,1850,995
926,915,750,1850,995
927,915,750,1850,995
928,915,750,1850,995
929,915,750,1850,995
930,915,750,1855,995
931,915,750,1860,995
932,915,750,1865,995
933,915,750,1870,995
934,915,750,1870,995
935,915,750,1870,990
936,915,750,1870,990
937,915,750,1870,990
938,915,750,1875,990
939,915,750,1875,990
940,915,750,1875,990
941,915,750,1875,990
942,915,750,1875,985
943,915,750,1880,985
944,915,750,1880,985
945,915,750,1880,985
946,915,750,1885,985
947,915,750,1890,985
948,915,750,1895,985
949,950,745,1930,1020
950,950,745,1930,1020
951,950,745,1930,1020
952,950,745,1930,1020
953,950,745,1930,1020
954,950,745,1930,1020
955,950,745,1930,1020
956,950,745,1930,1020
957,950,745,1930,1020
958,950,745,1930,1020
959,950,745,1935,1020
960,950,745,1935,1020
961,950,745,1940,1020
962,950,745,1945,1020
963,950,745,1945,1020
964,950,745,1945,1020
965,950,745,1945,1020
966,950,745,1945,1020
967,950,745,1950,1020
968,950,745,1950,1020
969,950,745,1950,1020
970,950,745,1950,1020
971,950,745,1950,1020
972,950,745,1950,1020
973,950,745,1950,1020
974,950,745,1950,1020
975,950,740,1950,1020
976,950,740,1955,1020
977,950,740,1955,1020
978,950,740,1960,1020
979,950,740,1960,1020
980,950,745,1965,1020
981,950,745,1970,1020
982,950,745,1970,1020
983,950,745,1970,1020
984,950,745,1970,1020
985,950,745,1970,1020
986,950,745,1970,1020
987,950,745,1970,1015
988,950,745,1975,1015
989,950,780,1975,1015
990,950,780,1980,1015
991,950,780,1980,1015
992,950,780,1980,1015
993,950,780,1980,1015
